DATE,FEDFUNDS
10/1/2014,0.09
11/1/2014,0.09
12/1/2014,0.12
1/1/2015,0.11
2/1/2015,0.11
3/1/2015,0.11
4/1/2015,0.12
5/1/2015,0.12
6/1/2015,0.13
7/1/2015,0.13
8/1/2015,0.14
9/1/2015,0.14
10/1/2015,0.12
11/1/2015,0.12
12/1/2015,0.24
1/1/2016,0.34
2/1/2016,0.38
3/1/2016,0.36
4/1/2016,0.37
5/1/2016,0.37
6/1/2016,0.38
7/1/2016,0.39
8/1/2016,0.4
9/1/2016,0.4
10/1/2016,0.4
11/1/2016,0.41
12/1/2016,0.54
1/1/2017,0.65
2/1/2017,0.66
3/1/2017,0.79
4/1/2017,0.9
5/1/2017,0.91
6/1/2017,1.04
7/1/2017,1.15
8/1/2017,1.16
9/1/2017,1.15
10/1/2017,1.15
11/1/2017,1.16
12/1/2017,1.3
1/1/2018,1.41
2/1/2018,1.42
3/1/2018,1.51
4/1/2018,1.69
5/1/2018,1.7
6/1/2018,1.82
7/1/2018,1.91
8/1/2018,1.91
9/1/2018,1.95
10/1/2018,2.19
11/1/2018,2.2
12/1/2018,2.27
1/1/2019,2.4
2/1/2019,2.4
3/1/2019,2.41
4/1/2019,2.42
5/1/2019,2.39
6/1/2019,2.38
7/1/2019,2.4
8/1/2019,2.13
9/1/2019,2.04
10/1/2019,1.83
